,name,is_winner,pct_pts_key,pct_pts_fcd_rally,pct_pts_ufcd_rally,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_pts_won_in_match,pct_win_long_rallies_initiated_by_opponent,pct_rally_pts_won,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
208,Novak_Djokovic,1,0.39344262295081905,0.36065573770491804,0.737704918032786,1.0,0.125,0.785714285714285,0.21428571428571402,0.5,0.1,0.446428571428571,0.7894736842105261,0.48780487804878003,0.575757575757575,0.8,0.575757575757575,0.24242424242424201,0.189393939393939,0.39344262295081905,0.8196721311475411,0.737704918032786,0.529411764705882,0.325,0.154929577464788,0.0,0.197183098591549,0.464788732394366,0.422680412371134,0.20103092783505103,0.159793814432989,0.20618556701030902,0.010309278350515,0.059294343709038,0.025691351084488
209,Roger_Federer,1,0.36206896551724105,0.30172413793103403,0.6551724137931031,0.777777777777777,0.0,0.833333333333333,0.22222222222222202,0.777777777777777,0.0,0.378640776699029,0.7142857142857141,0.48,0.536036036036036,0.7176470588235291,0.538461538461538,0.18552036199095,0.17647058823529402,0.36206896551724105,0.706896551724137,0.6551724137931031,0.378378378378378,0.31343283582089504,0.10476190476190402,0.0,0.19047619047619002,0.4,0.42914979757085003,0.28340080971659903,0.149797570850202,0.11336032388663901,0.024291497975708003,0.044565966237668,0.037889399733485006
210,Roger_Federer,1,0.41025641025641,0.384615384615384,0.7179487179487181,1.0,0.0,0.9,0.1,0.8,0.0,0.47058823529411703,0.849056603773584,0.423076923076923,0.60919540229885,0.65,0.60919540229885,0.22988505747126403,0.18390804597701102,0.41025641025641,0.794871794871794,0.7179487179487181,0.555555555555555,0.35714285714285704,0.22916666666666602,0.0,0.1875,0.479166666666666,0.42990654205607404,0.21495327102803702,0.177570093457943,0.14953271028037302,0.028037383177570003,0.011174961121190001,0.045067028784857
211,Novak_Djokovic,0,0.267857142857142,0.267857142857142,0.75,0.625,0.0,0.583333333333333,0.16666666666666602,0.5,0.08333333333333301,0.44927536231884,0.785714285714285,0.40425531914893603,0.448,0.8095238095238091,0.448,0.16,0.248,0.267857142857142,0.803571428571428,0.75,0.325,0.291666666666666,0.130434782608695,0.0,0.08695652173913,0.318840579710144,0.36538461538461503,0.22596153846153802,0.19711538461538403,0.177884615384615,0.033653846153846,0.040491256952948,0.079294127902914
212,Novak_Djokovic,1,0.39,0.37,0.67,0.777777777777777,0.11111111111111101,0.6086956521739131,0.21739130434782603,0.6666666666666661,0.16666666666666602,0.213592233009708,0.7739130434782601,0.49230769230769206,0.527522935779816,0.75,0.5265700483091781,0.20772946859903302,0.106280193236714,0.39,0.67,0.67,0.36111111111111105,0.47058823529411703,0.130841121495327,0.0,0.205607476635514,0.40186915887850405,0.583969465648855,0.187022900763358,0.110687022900763,0.110687022900763,0.0076335877862590005,0.032537061057731,0.008913476560430001
213,Novak_Djokovic,1,0.49019607843137203,0.45098039215686203,0.8431372549019601,0.6666666666666661,0.0,0.5714285714285711,0.21428571428571402,0.5,0.0,0.425,0.6557377049180321,0.525,0.603960396039603,0.75,0.603960396039603,0.17821782178217802,0.16831683168316802,0.49019607843137203,0.8627450980392151,0.8431372549019601,0.5625,0.45161290322580605,0.16,0.0,0.16,0.44,0.32795698924731104,0.30107526881720403,0.16129032258064502,0.18817204301075202,0.021505376344086002,0.055173465045988,0.09488968521327801
214,Novak_Djokovic,1,0.37777777777777705,0.355555555555555,0.7555555555555551,1.0,0.0,0.769230769230769,0.30769230769230704,0.8,0.2,0.372093023255813,0.8305084745762711,0.5675675675675671,0.578431372549019,0.813953488372093,0.578431372549019,0.29411764705882304,0.15686274509803902,0.37777777777777705,0.8,0.7555555555555551,0.42857142857142805,0.33333333333333304,0.070175438596491,0.0,0.210526315789473,0.385964912280701,0.44217687074829903,0.183673469387755,0.19047619047619002,0.183673469387755,0.0,0.045484052282741,0.20654912382037002
215,Novak_Djokovic,0,0.373333333333333,0.36,0.72,0.5714285714285711,0.14285714285714202,0.785714285714285,0.21428571428571402,0.7272727272727271,0.18181818181818102,0.41025641025641,0.695121951219512,0.543859649122807,0.5125000000000001,0.8085106382978721,0.5125000000000001,0.17500000000000002,0.2,0.373333333333333,0.7733333333333331,0.72,0.35294117647058804,0.40540540540540504,0.10588235294117601,0.0,0.14117647058823501,0.37647058823529406,0.45643153526970903,0.12033195020746801,0.21991701244813203,0.182572614107883,0.020746887966804,0.051290277805985,0.017163125004133
216,Roger_Federer,0,0.40571428571428503,0.382857142857142,0.788571428571428,0.5625,0.125,0.678571428571428,0.10714285714285701,0.583333333333333,0.041666666666666005,0.35260115606936404,0.689655172413793,0.46511627906976705,0.5014409221902011,0.674074074074074,0.5014409221902011,0.14985590778097901,0.17579250720461,0.40571428571428503,0.805714285714285,0.788571428571428,0.318181818181818,0.413793103448275,0.063953488372093,0.0,0.11627906976744101,0.319767441860465,0.41970802919708006,0.281021897810218,0.155109489051094,0.11313868613138602,0.031021897810218003,0.039761588773883,0.004910741502419
217,Roger_Federer,0,0.35616438356164304,0.301369863013698,0.753424657534246,0.4,0.2,0.583333333333333,0.08333333333333301,0.625,0.375,0.46511627906976705,0.6268656716417911,0.347826086956521,0.43790849673202603,0.7826086956521741,0.43790849673202603,0.12418300653594701,0.26143790849673204,0.35616438356164304,0.7808219178082191,0.753424657534246,0.36363636363636304,0.3125,0.05,0.0,0.15,0.275,0.40740740740740705,0.356481481481481,0.064814814814814,0.13425925925925902,0.037037037037037,0.035725762548598,0.045568864826673
