row,is_winner,pct_pts_key,pct_pts_fcd_rally,pct_pts_ufcd_rally,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,win_pct_netpts,pct_win_of_all_netpts,pct_induced_fcd_err_netpts,pct_rally_pts_won,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_deep_return,pct_deep_return_1st,pct_deep_return_2nd,pct_deep_return_fh,pct_deep_return_bh,pct_very_deep_return,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_net_rate,pct_serve_error,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,pct_win_baseline,pct_win_groundstr,pct_win_volley,pct_win_dropS,pct_win_smash,pct_wide,pct_body,pct_downT,pct_win_wide,pct_win_body,pct_win_downT,avg_win_pct_long_rally,var_win_pct_long_rally,win_pct_cross,ufcd_err_pct_cross,win_pct_downM,ufcd_err_pct_downM,win_pct_downL,ufcd_err_pct_downL,win_pct_insideO,ufcd_err_pct_insideO,win_pct_insideI,ufcd_err_pct_insideI
220,1,0.581395349,0.534883721,0.76744186,0.75,0,0.875,0.125,0.666666667,0.166666667,0.818181818,0.545454545,0.272727273,0,0,0.612903226,0.193548387,0.047619048,0,0.055555556,0,0.028571429,0.581395349,0.813953488,0.76744186,0.6,0.523809524,0.06,0,0.1,0.28,0.16,0.34,0.298387097,0.346774194,0.080645161,0.258064516,0.016129032,0.088888889,0.080745342,0.5,0.25,0.666666667,0.48,0.28,0.24,0.666666667,0.571428571,0.666666667,0.063597945,0.014084497,0.108108108,0.081081081,0,0,0,0,0.125,0.21875,0,0.5
221,0,0.314814815,0.277777778,0.62962963,0.5,0,0.555555556,0.222222222,0.25,0,0.666666667,0.333333333,0.333333333,0,0,0.455284553,0.170731707,0.714285714,0.714285714,0.642857143,0.761904762,0.228571429,0.314814815,0.648148148,0.62962963,0.3,0.36,0.028985507,0,0.144927536,0.217391304,0.173913043,0.420289855,0.459893048,0.304812834,0.096256684,0.122994652,0.016042781,0.037974684,0.038834951,0.4,0,0.5,0.289855072,0.376811594,0.333333333,0.75,0.423076923,0.565217391,0.054716554,0.029312583,0.034883721,0.104651163,0,0.052631579,0.166666667,0.111111111,0.043478261,0.173913043,0.333333333,0.333333333
222,1,0.428571429,0.397959184,0.724489796,0.8,0.4,0.764705882,0.176470588,0.466666667,0,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.552763819,0.201005025,0.135678392,0.054634944,0.054634944,0.054634944,0.428571429,0.755102041,0.724489796,0.432432432,0.479166667,0.079207921,0.02970297,0.128712871,0.316831683,0.53125,0.253472222,0.069444444,0.125,0.020833333,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.041462365,0.010976161,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
223,0,0.316666667,0.266666667,0.7,0.75,0.25,0.368421053,0.052631579,0.722222222,0.222222222,0.666666667,0.333333333,0.266666667,0,0,0.45751634,0.202614379,0.75,0.5,0.611111111,0.730769231,0.340909091,0.316666667,0.733333333,0.7,0.391304348,0.21875,0.021505376,0,0.193548387,0.258064516,0.053763441,0.193548387,0.49270073,0.204379562,0.160583942,0.116788321,0.025547445,0.021604938,0.023648649,0.666666667,0.040470056,0.333333333,0.268817204,0.419354839,0.311827957,0.52,0.538461538,0.586206897,0.026118408,0.020243327,0.007407407,0.096296296,0,0.071428571,0.090909091,0.068181818,0.0625,0.1875,0,0.142857143
224,1,0.520833333,0.5,0.8125,0.857142857,0.285714286,0.727272727,0.181818182,0.6,0.2,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.607843137,0.264705882,0.098039216,0.054634944,0.054634944,0.054634944,0.520833333,0.8125,0.8125,0.523809524,0.541666667,0.018518519,0,0.185185185,0.240740741,0.486772487,0.164021164,0.158730159,0.164021164,0.026455026,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.061759221,0.013132725,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
225,1,0.490909091,0.390909091,0.645454545,0.636363636,0.181818182,0.619047619,0.285714286,0.6,0,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.555555556,0.212962963,0.087962963,0.054634944,0.054634944,0.054634944,0.490909091,0.654545455,0.645454545,0.441860465,0.533333333,0.009433962,0,0.169811321,0.311320755,0.438914027,0.14479638,0.167420814,0.221719457,0.027149321,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.033750866,0.028273806,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
226,1,0.398809524,0.327380952,0.654761905,0.714285714,0.285714286,0.766666667,0.033333333,0.777777778,0.111111111,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.540880503,0.125786164,0.13836478,0.054634944,0.054634944,0.054634944,0.398809524,0.696428571,0.654761905,0.166666667,0.308641975,0.073333333,0.033333333,0.12,0.373333333,0.39159292,0.254424779,0.163716814,0.168141593,0.022123894,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.04406578,0.0190173,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
227,1,0.364640884,0.337016575,0.740331492,0.75,0.0625,0.705882353,0.235294118,0.6,0.1,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.509589041,0.230136986,0.109589041,0.054634944,0.054634944,0.054634944,0.364640884,0.740331492,0.740331492,0.409836066,0.382978723,0.043478261,0,0.179347826,0.266304348,0.526484751,0.192616372,0.152487961,0.097913323,0.030497592,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.052737173,0.004365212,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
228,1,0.484375,0.421875,0.71875,0.666666667,0.333333333,0.470588235,0.058823529,0.470588235,0.176470588,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.536912752,0.181208054,0.100671141,0.054634944,0.054634944,0.054634944,0.484375,0.71875,0.71875,0.5,0.4,0.117647059,0,0.188235294,0.341176471,0.423728814,0.276836158,0.124293785,0.152542373,0.02259887,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.043717036,0.063049393,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
229,1,0.331081081,0.304054054,0.614864865,0.5,0,0.739130435,0.130434783,1,0.166666667,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.518518519,0.192592593,0.140740741,0.054634944,0.054634944,0.054634944,0.331081081,0.648648649,0.614864865,0.444444444,0.28,0.073770492,0,0.163934426,0.393442623,0.373015873,0.28968254,0.099206349,0.198412698,0.03968254,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.068416993,0.01080869,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
230,0,0.366666667,0.308333333,0.7,0.666666667,0.166666667,0.666666667,0.285714286,0.571428571,0.214285714,0.048563894,0.046272227,0.046272227,0,0,0.054634944,0.054634944,0.054634944,0.511111111,0.244444444,0.08,0.054634944,0.054634944,0.054634944,0.366666667,0.716666667,0.7,0.355932203,0.348837209,0.019047619,0.00952381,0.247619048,0.314285714,0.472727273,0.190909091,0.154545455,0.159090909,0.022727273,0.054634944,0.054634944,0.054634944,0.040470056,0.050355052,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.060537812,0.02090922,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.054634944,0.049509409,0.049509409
