name,is_winner,pct_pts_key,pct_pts_fcd_rally,pct_pts_ufcd_rally,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,win_pct_netpts,pct_win_of_all_netpts,pct_induced_fcd_err_netpts,pct_rally_pts_won,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_deep_return,pct_deep_return_1st,pct_deep_return_2nd,pct_deep_return_fh,pct_deep_return_bh,pct_very_deep_return,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_net_rate,pct_serve_error,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,pct_win_baseline,pct_win_groundstr,pct_win_volley,pct_win_dropS,pct_win_smash,pct_wide,pct_body,pct_downT,pct_win_wide,pct_win_body,pct_win_downT,avg_win_pct_long_rally,var_win_pct_long_rally,win_pct_cross,ufcd_err_pct_cross,win_pct_downM,ufcd_err_pct_downM,win_pct_downL,ufcd_err_pct_downL,win_pct_insideO,ufcd_err_pct_insideO,win_pct_insideI,ufcd_err_pct_insideI
Alexander_Zverev,0.315789474,0.317880931,0.287869182,0.651584,0.523522792,0.213975178,0.702885798,0.223399241,0.682374351,0.21226522,0.099469811,0.081925952,0,0,0.005181347,0.086810208,0.116702011,0.116702011,0.492030915,0.186691816,0.185518773,0.091138101,0.095677227,0.113221087,0.355701111,0.645599903,0.621809963,0.280041596,0.289301645,0.13538372,0.078497318,0.203039679,0.401850971,0.451135328,0.283086524,0.126137252,0.128843864,0.010797032,0.081106694,0.081151971,0.100160658,0.058246286,0.09928801,0.094363556,0.098940215,0.096651886,0.11858171,0.101375233,0.10885631,0.047382909,0.026823622,0.080944011,0.084615982,0.079108026,0.081878109,0.087879956,0.084955979,0.081396356,0.088261344,0.086834596,0.086834596
Andrey_Rublev,0.4,0.344547758,0.283080705,0.56809011,0.624542125,0.160879121,0.61952381,0.198611111,0.518290043,0.225919913,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.484153885,0.173486127,0.140851107,0.083502916,0.083502916,0.083502916,0.419106718,0.606135595,0.573204625,0.395772508,0.320879121,0.085109113,0.075308642,0.237707333,0.368370835,0.428107955,0.21782249,0.137843451,0.185859158,0.030366946,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.044317569,0.026377824,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
Benoit_Paire,0.25,0.342516313,0.280313735,0.634281537,0.583333333,0.072222222,0.584096459,0.092338217,0.550054113,0.126352814,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.473123686,0.136551867,0.195183452,0.083502916,0.083502916,0.083502916,0.371959993,0.683543668,0.609508349,0.230732442,0.253676779,0.095188752,0.111965019,0.227063509,0.434910516,0.474319697,0.227831551,0.165203009,0.128988015,0.003657727,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.028590431,0.071250234,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
Borna_Coric,0.454545455,0.333736767,0.301070275,0.610998992,0.602147633,0.109701657,0.72845545,0.243332321,0.636753903,0.189761249,0.061780795,0.092083826,0,0,0.005181347,0.086126247,0.141742463,0.131467298,0.523809734,0.218449192,0.251158115,0.107259705,0.111162206,0.129715082,0.352289643,0.649151536,0.607700703,0.368600927,0.346136628,0.083826696,0.027726659,0.174195522,0.360668928,0.454749658,0.209785929,0.09135566,0.142679162,0.0105205,0.076431223,0.076479924,0.083502916,0.061482191,0.077026233,0.10318447,0.105457197,0.110002651,0.121366288,0.096890763,0.112275379,0.036941556,0.026112731,0.075911742,0.089379756,0.07776703,0.081477605,0.075911742,0.088898755,0.075911742,0.090457197,0.066491111,0.066491111
Daniil_Medvedev,0.444444444,0.348932685,0.316073949,0.691054177,0.52891187,0.160138004,0.681389922,0.161972088,0.655900838,0.19343377,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.50713557,0.156333121,0.140179018,0.083502916,0.083502916,0.083502916,0.357881745,0.703200792,0.678982216,0.30766116,0.377526866,0.122914548,0.040226014,0.164299576,0.406200732,0.456483348,0.251393141,0.106824708,0.12243535,0.007307898,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.044119629,0.042973369,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
David_Goffin,0,0.296655345,0.243587591,0.562981621,0.523809524,0.055238095,0.665238095,0.192857143,0.55974026,0.166991342,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.452243967,0.183978966,0.164522183,0.083502916,0.083502916,0.083502916,0.296655345,0.606895842,0.562981621,0.293038449,0.310384084,0.051440365,0.006779661,0.177601194,0.321285694,0.501014841,0.17341069,0.145959694,0.133183107,0.046431669,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.039610929,0.017780624,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
Denis_Shapovalov,0.5,0.340828424,0.292440659,0.637032371,0.697295241,0.205701516,0.646431771,0.200746763,0.685053065,0.143659909,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.50700445,0.172054181,0.176817288,0.083502916,0.083502916,0.083502916,0.340828424,0.682723691,0.637032371,0.310945387,0.349606697,0.110178667,0.023389959,0.159178807,0.424964519,0.441162348,0.261784766,0.123340957,0.146485012,0.027226918,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.048486064,0.054149756,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
Dominic_Thiem,0.588235294,0.334708478,0.307504147,0.664790918,0.504380059,0.109907029,0.637833141,0.174464625,0.639165002,0.151386971,0.067958875,0.067958875,0,0,0.005181347,0.083502916,0.083502916,0.083502916,0.483370483,0.160168937,0.169995689,0.083502916,0.083502916,0.083502916,0.368158179,0.665993772,0.638924857,0.323362831,0.266477416,0.066317389,0.063867455,0.219830102,0.380171472,0.456316921,0.237832537,0.116908488,0.166580166,0.022361887,0.083502916,0.083502916,0.083502916,0.061482191,0.077026233,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.043146978,0.042796206,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.083502916,0.073140222,0.073140222
Dusan_Lajovic,0.25,0.323243756,0.404268894,0.568497374,0.392359815,0.283921621,0.70105042,0.304831933,0.625,0.288392857,0.122397728,0.050969156,0,0,0.005181347,0.084132564,0.112627187,0.134055759,0.349797276,0.138557576,0.194165915,0.062627187,0.152627187,0.262627187,0.48336336,0.569257154,0.567001895,0.191100535,0.117586207,0.084572349,0.100571195,0.243023388,0.406169677,0.427528093,0.326869392,0.083201915,0.147029811,0.01537079,0.071297708,0.074077569,0.062627187,0.046111643,0.224436341,0.155650443,0.16727835,0.114952769,0.203252187,0.145960521,0.145960521,0.032916136,0.014017727,0.087627187,0.087627187,0.062627187,0.070691703,0.062627187,0.187627187,0.08535446,0.08535446,0.054855167,0.054855167
Fabio_Fognini,0,0.287688857,0.256603253,0.679196607,0.465686275,0.09375,0.561507937,0.119047619,0.555555556,0.148611111,0.345382946,0.16994435,0,0,0.005181347,0.115299619,0.410006338,0.408418125,0.600868051,0.487266811,0.480713555,0.219564317,0.134633403,0.39678618,0.512515246,0.439522641,0.481033728,0.242434698,0.161607143,0.109666866,0.13360787,0.148505428,0.357866068,0.411316303,0.275124626,0.107828207,0.181982949,0.023747915,0.057423619,0.053448175,0.402862569,0.129444977,0.077026233,0.279969257,0.132348576,0.212936542,0.331845798,0.309608601,0.329496556,0.042477848,0.03783372,0.052310263,0.12914587,0.041751458,0.100446283,0.103952415,0.188880645,0.05155538,0.124330644,0.119903444,0.182403444
